Mobile Number,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,Credit Score
9092523683,1298993,7800,7800,7800, 36 months,6.03%,237.4,A,A1,384
8263027426,1298984,20000,20000,20000, 36 months,14.27%,686.18,C,C2,631
8379988189,1294105,9750,9750,9750, 36 months,7.51%,303.34,A,A3,575
7917057747,1298830,18000,15050,14773.45751, 60 months,15.96%,365.67,C,C5,551
9078993202,1298978,5000,5000,5000, 36 months,6.03%,152.18,A,A1,594
7929748831,1298959,9000,9000,9000, 36 months,14.65%,310.45,C,C3,515
8059354442,1290932,7200,7200,7175, 36 months,7.90%,225.29,A,A4,510
8354269268,1298948,3000,3000,3000, 60 months,19.03%,77.88,E,E2,613
8545159042,1298795,25000,25000,23505.29384, 60 months,19.42%,654.31,E,E3,465
8833643939,1291917,25000,25000,25000, 36 months,15.27%,869.95,C,C4,439
7941414897,1298775,10000,10000,10000, 36 months,15.96%,351.38,C,C5,841
7949092576,1298762,8875,8875,8875, 36 months,12.69%,297.72,B,B5,444
8655942048,1272939,15550,15550,15525, 36 months,11.71%,514.34,B,B3,875
7926134002,1298709,17000,17000,16060.11069, 60 months,15.27%,406.85,C,C4,755
7974688386,1298745,7500,7500,7475, 36 months,12.69%,251.59,B,B5,578
9800929344,1262430,8875,8875,8875, 36 months,8.90%,281.81,A,A5,529
8908620149,1298673,4500,4500,4500, 36 months,17.27%,161.05,D,D3,684
8434405540,1298511,5800,5800,5800, 36 months,12.42%,193.81,B,B4,820
9730467318,1298181,10000,10000,10000, 36 months,11.71%,330.76,B,B3,598
8802532585,1298502,10000,10000,10000, 36 months,9.91%,322.25,B,B1,746
9675941619,1298492,14000,14000,14000, 36 months,11.71%,463.07,B,B3,526
8568809189,1298460,25000,25000,23176.93361, 60 months,19.03%,648.93,E,E2,539
9110360314,1298456,12000,12000,12000, 36 months,8.90%,381.04,A,A5,465
8390567346,1298641,24000,24000,23975, 36 months,7.90%,750.97,A,A4,634
9119267239,1298453,14000,14000,14000, 36 months,14.27%,480.33,C,C2,881
8993454800,1298624,12000,12000,11975, 36 months,8.90%,381.04,A,A5,397
8386762047,1288419,15000,15000,14224.10774, 60 months,12.69%,338.93,B,B5,353
9407243175,1298613,8050,8050,8050, 36 months,12.69%,270.04,B,B5,820
8801905448,1298440,5600,5600,5600, 36 months,10.65%,182.42,B,B2,611
9339145630,1298623,7500,7500,7500, 36 months,9.91%,241.69,B,B1,731
9563033638,1294981,7000,7000,7000, 36 months,11.71%,231.54,B,B3,750
8664608134,1298611,5400,5400,5400, 36 months,7.90%,168.97,A,A4,394
9438959282,1298604,16000,16000,16000, 36 months,12.42%,534.65,B,B4,521
7898912701,1285367,35000,27575,26043.43249, 60 months,12.42%,619.26,B,B4,730
9435801001,1298422,6000,6000,6000, 60 months,7.90%,121.38,A,A4,389
9372649144,1298401,4125,4125,4125, 60 months,12.69%,93.21,B,B5,389
9097757228,1298584,9800,9800,9800, 36 months,16.29%,345.95,D,D1,664
9343056542,1298397,15700,15700,14931.3097, 60 months,18.25%,400.82,D,D5,477
8851321471,1298574,5000,5000,5000, 36 months,6.62%,153.52,A,A2,815
8886833102,1298274,9900,9900,9900, 36 months,11.71%,327.46,B,B3,779
8360617831,1298394,4000,4000,4000, 36 months,11.71%,132.31,B,B3,479
8434943693,1298391,15000,15000,15000, 36 months,11.71%,496.14,B,B3,813
9278461130,1277556,6250,6250,6250, 36 months,15.96%,219.61,C,C5,780
9525797696,1258545,6400,6400,6400, 36 months,16.29%,225.93,D,D1,665
9198909675,1298549,8850,8850,8850, 60 months,13.49%,203.6,C,C1,369
8366164058,1298378,12000,12000,12000, 36 months,15.27%,417.58,C,C4,343
8891168194,1298518,15000,15000,14975, 36 months,8.90%,476.3,A,A5,677
8636283198,1296478,6500,6500,6500, 36 months,14.27%,223.01,C,C2,331
9763702352,1289361,8000,8000,8000, 36 months,15.96%,281.1,C,C5,476
8423379040,1283533,30000,19825,18614.46557, 60 months,21.28%,539.47,F,F2,760
8347267996,1298326,15000,15000,15000, 36 months,14.65%,517.42,C,C3,835
8301032440,1298320,10200,10200,10200, 36 months,14.27%,349.96,C,C2,312
8660261090,1298287,9000,9000,9000, 36 months,12.42%,300.74,B,B4,888
9238886170,1292126,6500,6500,6500, 36 months,16.29%,229.46,D,D1,560
9476634401,1298261,23000,23000,23000, 60 months,21.28%,625.86,F,F2,547
9113483620,1298262,2000,2000,2000, 36 months,7.90%,62.59,A,A4,882
9373548422,1298080,8000,8000,8000, 36 months,13.49%,271.45,C,C1,867
9057475405,1295580,8875,8875,8875, 36 months,7.51%,276.11,A,A3,300
9709609748,1298041,1500,1500,1500, 36 months,18.64%,54.72,E,E1,838
8463616011,1298209,8000,8000,8000, 36 months,12.42%,267.33,B,B4,328
8210539330,1265435,20000,16925,11925, 60 months,14.65%,399.55,C,C3,798
9240587315,1296243,6500,6500,6500, 36 months,11.71%,215,B,B3,341
9468889972,1291568,9600,9600,9600, 36 months,13.49%,325.74,C,C1,395
9028150661,1298184,25975,16475,15252.50679, 60 months,12.69%,372.25,B,B5,315
8903840210,1287372,10000,10000,10000, 36 months,7.90%,312.91,A,A4,440
9036451286,1298006,15000,15000,15000, 36 months,12.42%,501.23,B,B4,792
8723673238,1297995,9000,9000,9000, 36 months,6.62%,276.34,A,A2,533
9309091194,1297994,10000,10000,10000, 36 months,7.90%,312.91,A,A4,494
8031292664,1298164,1000,1000,1000, 36 months,14.65%,34.5,C,C3,804
8949881341,1298000,14000,14000,14000, 36 months,7.90%,438.07,A,A4,714
8072570084,1298144,8500,8500,8500, 36 months,14.27%,291.63,C,C2,311
9831289862,1288418,15000,15000,14248.30682, 60 months,19.03%,389.36,E,E2,424
9184582517,1298139,4500,4500,4500, 36 months,15.96%,158.12,C,C5,840
8246562660,1297966,3000,3000,3000, 36 months,7.51%,93.34,A,A3,892
8031466011,1268159,10000,10000,10000, 36 months,9.91%,322.25,B,B1,540
8234724733,1298118,21250,21250,21225, 60 months,16.77%,525.5,D,D2,521
9450587842,1258841,33425,20675,19010.82122, 60 months,13.49%,475.63,C,C1,502
9696194288,1288798,35000,35000,32763.0552, 60 months,19.42%,916.03,E,E3,350
9736277660,1298120,7200,7200,7200, 36 months,15.27%,250.55,C,C4,766
8319027205,1297930,18000,18000,17836.5806, 60 months,11.71%,397.77,B,B3,685
9210460331,1268179,23000,23000,23000, 36 months,7.90%,719.68,A,A4,823
7954622735,1298122,20000,20000,19523.20774, 60 months,16.77%,494.59,D,D2,464
9460823712,1296684,6000,6000,6000, 60 months,17.58%,151,D,D4,337
9420739820,1296072,7000,7000,7000, 36 months,8.90%,222.28,A,A5,381
9465774996,1296094,21000,21000,20975, 36 months,12.69%,704.45,B,B5,539
9394981980,1296491,8250,8250,8250, 36 months,7.51%,256.67,A,A3,398
8032749082,1296671,13000,13000,13000, 36 months,9.91%,418.93,B,B1,544
9250709486,1296470,18000,18000,18000, 36 months,6.62%,552.67,A,A2,620
8007633473,1296648,7200,7200,7175, 36 months,6.03%,219.14,A,A1,598
9094835112,1296451,16500,16500,16500, 36 months,8.90%,523.93,A,A5,820
8285150568,1273136,8125,8125,8125, 36 months,7.90%,254.24,A,A4,764
8307716703,1296438,18800,18800,18750, 36 months,7.51%,584.89,A,A3,773
8994886710,1296635,26800,26800,26800, 36 months,19.03%,982.79,E,E2,371
8797049912,1296419,19200,19200,19200, 36 months,7.90%,600.78,A,A4,408
8532321385,1294709,12875,8475,8184.32018, 60 months,17.58%,213.28,D,D4,677
9043930785,1293876,4000,4000,4000, 36 months,12.42%,133.67,B,B4,576
8188641583,1282549,4000,4000,4000, 36 months,16.29%,141.21,D,D1,739
8430546228,1296397,12000,12000,12000, 36 months,9.91%,386.7,B,B1,803
9469939140,1296581,2625,2625,2625, 36 months,11.71%,86.83,B,B3,819
8415364771,1296299,18000,18000,17387.67974, 60 months,13.49%,414.09,C,C1,372
9328663734,1294499,7000,7000,7000, 36 months,9.91%,225.58,B,B1,772
8012217253,1294119,11300,11300,11300, 36 months,12.69%,379.06,B,B5,320
9494382989,1296535,4000,4000,4000, 36 months,9.91%,128.9,B,B1,653
7987981317,1296372,8000,8000,8000, 36 months,6.03%,243.49,A,A1,352
8672147415,1296522,14400,14400,14400, 36 months,18.25%,522.41,D,D5,753
9566592282,1296554,4375,4375,4375, 36 months,12.42%,146.2,B,B4,822
9080402786,1296543,4100,4100,4100, 36 months,7.51%,127.56,A,A3,759
9347209511,1296352,6000,6000,6000, 36 months,8.90%,190.52,A,A5,453
8589055077,1296355,4200,4200,4200, 60 months,17.27%,105,D,D3,760
8687518242,1296051,4000,4000,4000, 36 months,6.62%,122.82,A,A2,368
8219018988,1296348,3000,3000,3000, 36 months,10.65%,97.72,B,B2,790
8046986394,1289131,5400,5400,5400, 36 months,12.69%,181.15,B,B5,527
8146129796,1296342,15000,15000,15000, 36 months,16.29%,529.51,D,D1,320
8375134197,1294695,20000,20000,19523.42192, 60 months,18.64%,514.86,E,E1,598
7957464091,1272109,10400,10400,10400, 36 months,12.69%,348.87,B,B5,326
8764838424,1296086,4500,4500,4500, 60 months,17.58%,113.25,D,D4,367
9161600981,1296083,11500,11500,11500, 36 months,12.42%,384.28,B,B4,721
9739231800,943135,10000,10000,9975, 36 months,6.62%,307.04,A,A2,756
9350473664,1296087,18225,13450,13425, 60 months,13.49%,309.42,C,C1,714
7899863495,1288586,3600,3600,3600, 36 months,8.90%,114.32,A,A5,879
8952589866,1208718,18500,13250,13250, 60 months,11.71%,292.81,B,B3,532
9024632104,1296075,16800,16800,16775, 60 months,18.25%,428.9,D,D5,737
7964106716,1296259,10000,10000,10000, 36 months,17.27%,357.88,D,D3,300
8859343221,1296266,15000,15000,15000, 36 months,18.25%,544.17,D,D5,387
9639970885,1288490,8000,8000,8000, 36 months,11.71%,264.61,B,B3,839
9786279106,1295751,25000,17950,17925, 60 months,16.77%,443.89,D,D2,893
9389272803,1288982,16000,16000,16000, 36 months,7.90%,500.65,A,A4,332
9885913749,1296245,8000,8000,8000, 36 months,10.65%,260.59,B,B2,631
9063218088,1296244,7200,7200,7200, 36 months,7.51%,224,A,A3,604
8050748808,1295527,12000,12000,12000, 36 months,7.51%,373.33,A,A3,591
9238476068,1296012,2200,2200,2200, 36 months,15.27%,76.56,C,C4,584
8579213845,1295991,20000,20000,19975, 60 months,12.69%,451.9,B,B5,821
9160880214,1292769,28000,28000,28000, 60 months,12.42%,628.81,B,B4,471
9536316122,1257143,6000,6000,6000, 36 months,7.51%,186.67,A,A3,873
9079238351,1296216,25000,25000,24975, 60 months,19.42%,654.31,E,E3,580
8661074920,1295979,8000,8000,8000, 60 months,8.90%,165.68,A,A5,835
9821086101,1295334,14400,14400,14400, 36 months,15.27%,501.09,C,C4,787
8037448349,1294556,20000,13700,13675, 60 months,19.03%,355.62,E,E2,633
9022097807,1296185,25000,19950,19925, 60 months,14.27%,467,C,C2,374
9119812125,1295960,14050,14050,14050, 36 months,8.90%,446.14,A,A5,688
8937589278,1296167,6000,6000,6000, 36 months,13.49%,203.59,C,C1,708
7981895461,1296158,16100,16100,16075, 60 months,11.71%,355.79,B,B3,434
8166238508,1295948,35000,23250,23225, 60 months,20.30%,619.88,E,E5,675
9393969926,1295942,10525,10525,10525, 36 months,7.90%,329.33,A,A4,827
9446259314,1296138,7200,7200,7200, 36 months,15.96%,252.99,C,C5,433
8634506982,1212630,18500,15775,15775, 60 months,10.65%,340.24,B,B2,781
9095759057,1296115,12000,12000,12000, 36 months,13.49%,407.17,C,C1,623
8335393702,1295626,12000,12000,12000, 36 months,11.71%,396.92,B,B3,879
9277358725,1295786,3000,3000,3000, 36 months,11.71%,99.23,B,B3,731
9248140408,1289523,9500,9500,9500, 36 months,16.29%,335.36,D,D1,650
8737720780,1291803,19775,19775,19775, 36 months,12.42%,660.79,B,B4,468
7991655161,1291351,12000,12000,11975, 60 months,14.65%,283.28,C,C3,491
9079571760,1294447,28000,28000,26968.31346, 60 months,14.27%,655.44,C,C2,739
9098262149,1284748,30000,30000,30000, 36 months,12.42%,1002.46,B,B4,418
9556219624,1295599,16000,16000,16000, 36 months,10.65%,521.18,B,B2,894
9343607824,1295743,14500,14500,14500, 36 months,14.65%,500.17,C,C3,493
8837484113,1293888,11700,11700,11675, 60 months,14.65%,276.2,C,C3,890
9258455283,1295731,4150,4150,4150, 36 months,10.65%,135.18,B,B2,595
8052089597,1269948,15000,15000,14975, 60 months,11.71%,331.48,B,B3,783
7950868756,1295491,24000,24000,24000, 36 months,16.77%,852.93,D,D2,606
8839410692,1295567,21250,21250,21250, 36 months,12.42%,710.08,B,B4,620
9227681350,1295557,10000,10000,10000, 36 months,14.27%,343.09,C,C2,618
8914652108,1295495,25000,25000,24975, 60 months,18.25%,638.25,D,D5,405
8288631403,1295480,4000,4000,4000, 36 months,15.96%,140.55,C,C5,456
8590061267,1295533,15000,15000,15000, 36 months,11.71%,496.14,B,B3,393
8920770023,1295111,20000,20000,19975, 60 months,13.49%,460.1,C,C1,364
8882397476,1295416,15000,15000,14975, 60 months,17.58%,377.49,D,D4,541
9504573919,1295092,3600,3600,3600, 36 months,15.96%,126.5,C,C5,487
9763053328,1295090,6000,6000,6000, 60 months,19.03%,155.75,E,E2,470
8511458420,1295086,15000,15000,15000, 36 months,15.27%,521.97,C,C4,408
9014841255,1293329,12000,12000,11975, 60 months,18.25%,306.36,D,D5,677
8887665445,1294683,12375,12375,12375, 36 months,7.51%,385,A,A3,332
8732071688,1295405,4000,4000,4000, 36 months,12.69%,134.18,B,B5,364
8228296795,1295070,13000,13000,13000, 36 months,10.65%,423.46,B,B2,336
7926677742,1293535,5000,5000,5000, 36 months,6.62%,153.52,A,A2,729
9752355297,1265811,5000,5000,5000, 36 months,15.96%,175.69,C,C5,853
8880129592,1295377,26000,26000,25975, 36 months,11.71%,859.98,B,B3,897
8892662261,1295378,15000,15000,15000, 60 months,18.64%,386.15,E,E1,626
8007543570,1295062,4000,4000,4000, 60 months,19.91%,105.78,E,E4,543
8557861618,1293809,8000,8000,8000, 36 months,7.90%,250.33,A,A4,609
9302284444,1295380,1700,1700,1700, 36 months,7.90%,53.2,A,A4,329
8181634910,1295337,16000,16000,16000, 36 months,9.91%,515.6,B,B1,668
9001715680,1291460,20000,20000,20000, 60 months,9.91%,424.06,B,B1,556
8694879148,1291111,12000,12000,12000, 36 months,14.65%,413.94,C,C3,857
8955298854,1295369,7000,7000,7000, 36 months,11.71%,231.54,B,B3,317
8888342905,1295329,8000,8000,8000, 60 months,20.30%,213.29,E,E5,595
8045373102,1271501,13000,13000,13000, 60 months,23.52%,370.38,G,G3,476
9458557787,1295322,13000,13000,13000, 36 months,16.29%,458.91,D,D1,640
9466130791,1295039,20000,20000,19975, 60 months,21.28%,544.23,F,F2,427
9468252399,1295353,18000,18000,18000, 36 months,13.49%,610.75,C,C1,663
8281101058,1295340,10000,10000,10000, 36 months,16.29%,353.01,D,D1,497
9543777920,1295022,22250,22250,22200, 60 months,15.27%,532.49,C,C4,877
7928064263,1295344,24000,24000,23975, 60 months,17.58%,603.98,D,D4,456
9380518937,1295018,11200,11200,11200, 36 months,12.42%,374.26,B,B4,554
8705324464,1283491,7000,7000,7000, 36 months,10.65%,228.02,B,B2,800
9066754643,1290157,8000,8000,8000, 36 months,6.03%,243.49,A,A1,821
9217622068,1294454,22500,22500,22475, 60 months,16.77%,556.41,D,D2,439
8484405865,1294110,12000,12000,12000, 36 months,17.27%,429.45,D,D3,449
9329857695,1294669,22000,22000,22000, 36 months,14.65%,758.88,C,C3,394
8490464618,1294487,6200,6200,6200, 36 months,10.65%,201.96,B,B2,822
8165930817,1293165,15900,15900,15900, 36 months,9.91%,512.38,B,B1,731
9600733104,1294654,5000,5000,5000, 36 months,8.90%,158.77,A,A5,751
9279798534,1252167,16000,16000,16000, 36 months,6.62%,491.26,A,A2,333
8217803290,1294929,5000,5000,5000, 36 months,11.71%,165.38,B,B3,348
9783564102,1280475,3150,3150,3150, 36 months,15.27%,109.62,C,C4,838
8648594946,1294623,12000,12000,12000, 36 months,14.27%,411.71,C,C2,323
9852310165,1294478,28000,28000,28000, 36 months,7.90%,876.13,A,A4,341
8607188263,1294917,5000,5000,5000, 36 months,12.42%,167.08,B,B4,325
7923392307,1294602,3000,3000,3000, 36 months,9.91%,96.68,B,B1,535
8580888615,1294599,3000,3000,3000, 36 months,7.90%,93.88,A,A4,681
9774863321,966880,8400,8400,8400, 36 months,6.62%,257.92,A,A2,320
9682659608,1260896,7000,7000,7000, 36 months,10.65%,228.02,B,B2,858
8615258122,1294485,18550,11600,11575, 60 months,19.42%,303.6,E,E3,699
7967746419,1294575,2000,2000,2000, 36 months,9.91%,64.45,B,B1,683
7919437188,1294574,12000,9600,9600, 60 months,14.65%,226.63,C,C3,335
8959409274,1266720,8575,8575,8575, 36 months,17.58%,308.21,D,D4,764
8408651381,1294543,28000,18625,18600, 60 months,12.42%,418.27,B,B4,618
9784684169,1287544,10000,10000,10000, 36 months,7.90%,312.91,A,A4,698
7930791608,1294525,25000,25000,25000, 36 months,19.42%,921.72,E,E3,878
8135455065,1294524,8000,8000,8000, 36 months,11.71%,264.61,B,B3,535
9786723752,1294520,16000,16000,15975, 60 months,18.25%,408.48,D,D5,842
9188170831,1292723,25000,25000,24975, 36 months,11.71%,826.9,B,B3,728
9858558455,1294433,2000,2000,2000, 36 months,9.91%,64.45,B,B1,812
8055395191,1293579,16800,16800,16800, 36 months,14.65%,579.51,C,C3,731
9006817331,1294281,8000,8000,8000, 36 months,8.90%,254.03,A,A5,473
8310958553,1294276,12000,12000,12000, 60 months,12.69%,271.14,B,B5,420
8820496119,1294396,11000,11000,11000, 36 months,7.90%,344.2,A,A4,587
7943687980,1294277,5000,5000,5000, 36 months,16.29%,176.51,D,D1,372
8778322701,1292541,18000,18000,18000, 36 months,16.29%,635.41,D,D1,460
9418519654,1294263,10000,10000,10000, 36 months,12.69%,335.45,B,B5,643
9693677798,1289015,5000,5000,5000, 36 months,9.91%,161.13,B,B1,492
7995457336,1294029,10000,10000,10000, 36 months,16.29%,353.01,D,D1,829
9300422946,1294356,25000,25000,25000, 36 months,9.91%,805.63,B,B1,535
9195348098,1294244,2400,2400,2400, 36 months,12.69%,80.51,B,B5,785
9158066389,1260966,3000,3000,3000, 36 months,16.29%,105.91,D,D1,630
9711649757,1294324,7700,7700,7700, 36 months,16.77%,273.65,D,D2,437
8354348862,1294219,2400,2400,2400, 36 months,13.49%,81.44,C,C1,700
8935023516,1293201,5000,5000,5000, 36 months,10.65%,162.87,B,B2,362
8767528728,1293730,14000,14000,14000, 36 months,17.58%,503.19,D,D4,800
8356610576,1294204,24500,24500,24475, 60 months,20.89%,661.3,F,F1,306
8727021083,1290298,2400,2400,2400, 36 months,10.65%,78.18,B,B2,674
9878425008,1294209,1800,1800,1800, 36 months,12.42%,60.15,B,B4,565
8257025030,1294315,22200,22200,22200, 36 months,19.42%,818.49,E,E3,664
9320525660,1293213,21400,21400,21400, 60 months,19.42%,560.09,E,E3,580
8337107405,1294107,13000,13000,13000, 36 months,7.90%,406.78,A,A4,441
9416848990,1249642,8000,8000,8000, 36 months,12.69%,268.36,B,B5,791
